player,team,lg,season,replaced,hof
Larry Costello,East,NBA,1958,FALSE,FALSE
Bob Cousy,East,NBA,1958,FALSE,TRUE
Richie Guerin,East,NBA,1958,FALSE,TRUE
Neil Johnston,East,NBA,1958,FALSE,TRUE
Willie Naulls,East,NBA,1958,FALSE,FALSE
Bill Russell,East,NBA,1958,FALSE,TRUE
Dolph Schayes,East,NBA,1958,FALSE,TRUE
Kenny Sears,East,NBA,1958,FALSE,FALSE
Bill Sharman,East,NBA,1958,FALSE,TRUE
Larry Foust,West,NBA,1958,FALSE,FALSE
Dick Garmaker,West,NBA,1958,FALSE,FALSE
Cliff Hagan,West,NBA,1958,TRUE,TRUE
Slater Martin,West,NBA,1958,FALSE,TRUE
Dick McGuire,West,NBA,1958,FALSE,TRUE
Bob Pettit,West,NBA,1958,FALSE,TRUE
Gene Shue,West,NBA,1958,FALSE,FALSE
Maurice Stokes,West,NBA,1958,FALSE,TRUE
Jack Twyman,West,NBA,1958,FALSE,TRUE
George Yardley,West,NBA,1958,FALSE,TRUE
Paul Arizin,East,NBA,1957,FALSE,TRUE
Carl Braun,East,NBA,1957,FALSE,TRUE
Nat Clifton,East,NBA,1957,FALSE,TRUE
Bob Cousy,East,NBA,1957,FALSE,TRUE
Harry Gallatin,East,NBA,1957,FALSE,TRUE
Jack George,East,NBA,1957,FALSE,FALSE
Tom Heinsohn,East,NBA,1957,FALSE,TRUE
Neil Johnston,East,NBA,1957,FALSE,TRUE
Dolph Schayes,East,NBA,1957,FALSE,TRUE
Bill Sharman,East,NBA,1957,FALSE,TRUE
Dick Garmaker,West,NBA,1957,FALSE,FALSE
Mel Hutchins,West,NBA,1957,FALSE,FALSE
Clyde Lovellette,West,NBA,1957,TRUE,TRUE
Ed Macauley,West,NBA,1957,FALSE,TRUE
Slater Martin,West,NBA,1957,FALSE,TRUE
Vern Mikkelsen,West,NBA,1957,FALSE,TRUE
Bob Pettit,West,NBA,1957,FALSE,TRUE
Richie Regan,West,NBA,1957,FALSE,FALSE
Maurice Stokes,West,NBA,1957,FALSE,TRUE
Jack Twyman,West,NBA,1957,FALSE,TRUE
George Yardley,West,NBA,1957,FALSE,TRUE
Paul Arizin,East,NBA,1956,FALSE,TRUE
Carl Braun,East,NBA,1956,TRUE,TRUE
Bob Cousy,East,NBA,1956,FALSE,TRUE
Harry Gallatin,East,NBA,1956,FALSE,TRUE
Jack George,East,NBA,1956,FALSE,FALSE
Neil Johnston,East,NBA,1956,FALSE,TRUE
Red Kerr,East,NBA,1956,FALSE,FALSE
Ed Macauley,East,NBA,1956,FALSE,TRUE
Dick McGuire,East,NBA,1956,FALSE,TRUE
Dolph Schayes,East,NBA,1956,FALSE,TRUE
Bill Sharman,East,NBA,1956,FALSE,TRUE
Larry Foust,West,NBA,1956,FALSE,FALSE
Bob Harrison,West,NBA,1956,FALSE,FALSE
Mel Hutchins,West,NBA,1956,FALSE,FALSE
Clyde Lovellette,West,NBA,1956,FALSE,TRUE
Slater Martin,West,NBA,1956,FALSE,TRUE
Vern Mikkelsen,West,NBA,1956,FALSE,TRUE
Bob Pettit,West,NBA,1956,FALSE,TRUE
Maurice Stokes,West,NBA,1956,FALSE,TRUE
Bobby Wanzer,West,NBA,1956,FALSE,TRUE
George Yardley,West,NBA,1956,FALSE,TRUE
Paul Arizin,East,NBA,1955,FALSE,TRUE
Carl Braun,East,NBA,1955,FALSE,TRUE
Bob Cousy,East,NBA,1955,FALSE,TRUE
Harry Gallatin,East,NBA,1955,FALSE,TRUE
Neil Johnston,East,NBA,1955,FALSE,TRUE
Ed Macauley,East,NBA,1955,FALSE,TRUE
Dick McGuire,East,NBA,1955,FALSE,TRUE
Dolph Schayes,East,NBA,1955,FALSE,TRUE
Paul Seymour,East,NBA,1955,FALSE,FALSE
Bill Sharman,East,NBA,1955,FALSE,TRUE
Jack Coleman,West,NBA,1955,FALSE,FALSE
Larry Foust,West,NBA,1955,FALSE,FALSE
Slater Martin,West,NBA,1955,FALSE,TRUE
Vern Mikkelsen,West,NBA,1955,FALSE,TRUE
Bob Pettit,West,NBA,1955,FALSE,TRUE
Andy Phillip,West,NBA,1955,FALSE,TRUE
Jim Pollard,West,NBA,1955,FALSE,TRUE
Arnie Risen,West,NBA,1955,TRUE,TRUE
Frank Selvy,West,NBA,1955,FALSE,FALSE
Bobby Wanzer,West,NBA,1955,FALSE,TRUE
George Yardley,West,NBA,1955,FALSE,TRUE
Carl Braun,East,NBA,1954,FALSE,TRUE
Bob Cousy,East,NBA,1954,FALSE,TRUE
Ray Felix,East,NBA,1954,FALSE,FALSE
Harry Gallatin,East,NBA,1954,FALSE,TRUE
Neil Johnston,East,NBA,1954,FALSE,TRUE
Ed Macauley,East,NBA,1954,FALSE,TRUE
Dick McGuire,East,NBA,1954,FALSE,TRUE
Dolph Schayes,East,NBA,1954,FALSE,TRUE
Paul Seymour,East,NBA,1954,FALSE,FALSE
Bill Sharman,East,NBA,1954,FALSE,TRUE
Bob Davies,West,NBA,1954,FALSE,TRUE
Larry Foust,West,NBA,1954,FALSE,FALSE
Mel Hutchins,West,NBA,1954,FALSE,FALSE
Slater Martin,West,NBA,1954,FALSE,TRUE
George Mikan,West,NBA,1954,FALSE,TRUE
Jack Molinas,West,NBA,1954,TRUE,FALSE
Andy Phillip,West,NBA,1954,FALSE,TRUE
Jim Pollard,West,NBA,1954,FALSE,TRUE
Arnie Risen,West,NBA,1954,FALSE,TRUE
Don Sunderlage,West,NBA,1954,FALSE,FALSE
Bobby Wanzer,West,NBA,1954,FALSE,TRUE
Don Barksdale,East,NBA,1953,FALSE,TRUE
Carl Braun,East,NBA,1953,FALSE,TRUE
Bob Cousy,East,NBA,1953,FALSE,TRUE
Bill Gabor,East,NBA,1953,FALSE,FALSE
Harry Gallatin,East,NBA,1953,FALSE,TRUE
Neil Johnston,East,NBA,1953,FALSE,TRUE
Ed Macauley,East,NBA,1953,FALSE,TRUE
Dolph Schayes,East,NBA,1953,FALSE,TRUE
Fred Scolari,East,NBA,1953,TRUE,FALSE
Paul Seymour,East,NBA,1953,FALSE,FALSE
Bill Sharman,East,NBA,1953,FALSE,TRUE
Leo Barnhorst,West,NBA,1953,FALSE,FALSE
Bob Davies,West,NBA,1953,FALSE,TRUE
Larry Foust,West,NBA,1953,FALSE,FALSE
Mel Hutchins,West,NBA,1953,FALSE,FALSE
Slater Martin,West,NBA,1953,FALSE,TRUE
George Mikan,West,NBA,1953,FALSE,TRUE
Vern Mikkelsen,West,NBA,1953,FALSE,TRUE
Andy Phillip,West,NBA,1953,FALSE,TRUE
Arnie Risen,West,NBA,1953,FALSE,TRUE
Bobby Wanzer,West,NBA,1953,FALSE,TRUE
Paul Arizin,East,NBA,1952,FALSE,TRUE
Bob Cousy,East,NBA,1952,FALSE,TRUE
Joe Fulks,East,NBA,1952,FALSE,TRUE
Harry Gallatin,East,NBA,1952,FALSE,TRUE
Ed Macauley,East,NBA,1952,FALSE,TRUE
Dick McGuire,East,NBA,1952,FALSE,TRUE
Andy Phillip,East,NBA,1952,FALSE,TRUE
Red Rocha,East,NBA,1952,FALSE,FALSE
Dolph Schayes,East,NBA,1952,TRUE,TRUE
Fred Scolari,East,NBA,1952,FALSE,FALSE
Max Zaslofsky,East,NBA,1952,FALSE,FALSE
Leo Barnhorst,West,NBA,1952,FALSE,FALSE
Frankie Brian,West,NBA,1952,FALSE,FALSE
Bob Davies,West,NBA,1952,FALSE,TRUE
Dike Eddleman,West,NBA,1952,FALSE,FALSE
Larry Foust,West,NBA,1952,TRUE,FALSE
George Mikan,West,NBA,1952,FALSE,TRUE
Vern Mikkelsen,West,NBA,1952,FALSE,TRUE
Jim Pollard,West,NBA,1952,FALSE,TRUE
Arnie Risen,West,NBA,1952,FALSE,TRUE
Paul Walther,West,NBA,1952,FALSE,FALSE
Bobby Wanzer,West,NBA,1952,FALSE,TRUE
Paul Arizin,East,NBA,1951,FALSE,TRUE
Vince Boryla,East,NBA,1951,FALSE,FALSE
Bob Cousy,East,NBA,1951,FALSE,TRUE
Joe Fulks,East,NBA,1951,FALSE,TRUE
Harry Gallatin,East,NBA,1951,FALSE,TRUE
Ed Macauley,East,NBA,1951,FALSE,TRUE
Dick McGuire,East,NBA,1951,FALSE,TRUE
Andy Phillip,East,NBA,1951,FALSE,TRUE
Red Rocha,East,NBA,1951,FALSE,FALSE
Dolph Schayes,East,NBA,1951,FALSE,TRUE
Ralph Beard,West,NBA,1951,FALSE,FALSE
Frankie Brian,West,NBA,1951,FALSE,FALSE
Bob Davies,West,NBA,1951,FALSE,TRUE
Dike Eddleman,West,NBA,1951,FALSE,FALSE
Larry Foust,West,NBA,1951,FALSE,FALSE
Alex Groza,West,NBA,1951,FALSE,FALSE
George Mikan,West,NBA,1951,FALSE,TRUE
Vern Mikkelsen,West,NBA,1951,FALSE,TRUE
Jim Pollard,West,NBA,1951,FALSE,TRUE
Fred Schaus,West,NBA,1951,FALSE,FALSE
Marvin Barnes,All Stars,ABA,1976,FALSE,FALSE
Ron Boone,All Stars,ABA,1976,FALSE,FALSE
Don Buse,All Stars,ABA,1976,FALSE,FALSE
Julius Erving,All Stars,ABA,1976,FALSE,TRUE
George Gervin,All Stars,ABA,1976,FALSE,TRUE
Artis Gilmore,All Stars,ABA,1976,FALSE,TRUE
Larry Kenon,All Stars,ABA,1976,FALSE,FALSE
Billy Knight,All Stars,ABA,1976,FALSE,FALSE
Maurice Lucas,All Stars,ABA,1976,FALSE,FALSE
Billy Paultz,All Stars,ABA,1976,FALSE,FALSE
James Silas,All Stars,ABA,1976,FALSE,FALSE
Brian Taylor,All Stars,ABA,1976,FALSE,FALSE
Byron Beck,Denver,ABA,1976,FALSE,FALSE
Roger Brown,Denver,ABA,1976,FALSE,FALSE
Jimmy Foster,Denver,ABA,1976,FALSE,FALSE
Gus Gerard,Denver,ABA,1976,FALSE,FALSE
Dan Issel,Denver,ABA,1976,FALSE,TRUE
Bobby Jones,Denver,ABA,1976,FALSE,TRUE
Ralph Simpson,Denver,ABA,1976,FALSE,FALSE
Claude Terry,Denver,ABA,1976,FALSE,FALSE
David Thompson,Denver,ABA,1976,FALSE,TRUE
Monte Towe,Denver,ABA,1976,FALSE,FALSE
Chuck Williams,Denver,ABA,1976,FALSE,FALSE
Marvin Barnes,East,ABA,1975,FALSE,FALSE
Louie Dampier,East,ABA,1975,FALSE,TRUE
Julius Erving,East,ABA,1975,FALSE,TRUE
Artis Gilmore,East,ABA,1975,FALSE,TRUE
Dan Issel,East,ABA,1975,FALSE,TRUE
Stew Johnson,East,ABA,1975,FALSE,FALSE
Larry Kenon,East,ABA,1975,FALSE,FALSE
Freddie Lewis,East,ABA,1975,FALSE,FALSE
Billy Paultz,East,ABA,1975,FALSE,FALSE
Brian Taylor,East,ABA,1975,FALSE,FALSE
Dave Twardzik,East,ABA,1975,FALSE,FALSE
Ron Boone,West,ABA,1975,FALSE,FALSE
Mack Calvin,West,ABA,1975,FALSE,FALSE
George Gervin,West,ABA,1975,FALSE,TRUE
Mike Green,West,ABA,1975,FALSE,FALSE
Caldwell Jones,West,ABA,1975,FALSE,FALSE
Moses Malone,West,ABA,1975,FALSE,TRUE
George McGinnis,West,ABA,1975,FALSE,TRUE
Swen Nater,West,ABA,1975,FALSE,FALSE
James Silas,West,ABA,1975,FALSE,FALSE
Ralph Simpson,West,ABA,1975,FALSE,FALSE
Mack Calvin,East,ABA,1974,FALSE,FALSE
Louie Dampier,East,ABA,1974,FALSE,TRUE
Jim Eakins,East,ABA,1974,FALSE,FALSE
Julius Erving,East,ABA,1974,FALSE,TRUE
George Gervin,East,ABA,1974,FALSE,TRUE
Artis Gilmore,East,ABA,1974,FALSE,TRUE
Dan Issel,East,ABA,1974,FALSE,TRUE
Larry Kenon,East,ABA,1974,FALSE,FALSE
Ted McClain,East,ABA,1974,FALSE,FALSE
George Thompson,East,ABA,1974,FALSE,FALSE
Ron Boone,West,ABA,1974,FALSE,FALSE
Mel Daniels,West,ABA,1974,FALSE,TRUE
Warren Jabali,West,ABA,1974,FALSE,FALSE
Stew Johnson,West,ABA,1974,FALSE,FALSE
Jimmy Jones,West,ABA,1974,FALSE,FALSE
Rich Jones,West,ABA,1974,FALSE,FALSE
George McGinnis,West,ABA,1974,FALSE,TRUE
Swen Nater,West,ABA,1974,FALSE,FALSE
Ralph Simpson,West,ABA,1974,FALSE,FALSE
Willie Wise,West,ABA,1974,FALSE,FALSE
Joe Caldwell,East,ABA,1973,FALSE,FALSE
Mack Calvin,East,ABA,1973,FALSE,FALSE
Billy Cunningham,East,ABA,1973,FALSE,TRUE
Louie Dampier,East,ABA,1973,FALSE,TRUE
Julius Erving,East,ABA,1973,FALSE,TRUE
Artis Gilmore,East,ABA,1973,FALSE,TRUE
Dan Issel,East,ABA,1973,FALSE,TRUE
Bill Melchionni,East,ABA,1973,FALSE,FALSE
Billy Paultz,East,ABA,1973,FALSE,FALSE
George Thompson,East,ABA,1973,FALSE,FALSE
Zelmo Beaty,West,ABA,1973,FALSE,TRUE
Mel Daniels,West,ABA,1973,FALSE,TRUE
Warren Jabali,West,ABA,1973,FALSE,FALSE
Stew Johnson,West,ABA,1973,FALSE,FALSE
Jimmy Jones,West,ABA,1973,FALSE,FALSE
Rich Jones,West,ABA,1973,FALSE,FALSE
George McGinnis,West,ABA,1973,FALSE,TRUE
Ralph Simpson,West,ABA,1973,FALSE,FALSE
Chuck Williams,West,ABA,1973,FALSE,FALSE
Willie Wise,West,ABA,1973,FALSE,FALSE
Rick Barry,East,ABA,1972,FALSE,TRUE
John Brisker,East,ABA,1972,FALSE,FALSE
Mack Calvin,East,ABA,1972,FALSE,FALSE
Louie Dampier,East,ABA,1972,FALSE,TRUE
Julius Erving,East,ABA,1972,FALSE,TRUE
Artis Gilmore,East,ABA,1972,FALSE,TRUE
Dan Issel,East,ABA,1972,FALSE,TRUE
Warren Jabali,East,ABA,1972,FALSE,FALSE
Jim McDaniels,East,ABA,1972,FALSE,FALSE
Bill Melchionni,East,ABA,1972,FALSE,FALSE
Charlie Scott,East,ABA,1972,FALSE,TRUE
George Thompson,East,ABA,1972,FALSE,FALSE
Zelmo Beaty,West,ABA,1972,FALSE,TRUE
Arthur Becker,West,ABA,1972,FALSE,FALSE
Roger Brown,West,ABA,1972,FALSE,TRUE
Glen Combs,West,ABA,1972,FALSE,FALSE
Mel Daniels,West,ABA,1972,FALSE,TRUE
Donnie Freeman,West,ABA,1972,FALSE,FALSE
Steve Jones,West,ABA,1972,FALSE,FALSE
Wil Jones,West,ABA,1972,FALSE,FALSE
Wendell Ladner,West,ABA,1972,FALSE,FALSE
Freddie Lewis,West,ABA,1972,FALSE,FALSE
Ralph Simpson,West,ABA,1972,FALSE,FALSE
Willie Wise,West,ABA,1972,FALSE,FALSE
Rick Barry,East,ABA,1971,FALSE,TRUE
John Brisker,East,ABA,1971,FALSE,FALSE
Joe Caldwell,East,ABA,1971,FALSE,FALSE
Mack Calvin,East,ABA,1971,FALSE,FALSE
George Carter,East,ABA,1971,FALSE,FALSE
Dan Issel,East,ABA,1971,FALSE,TRUE
Neil Johnson,East,ABA,1971,FALSE,FALSE
Larry Jones,East,ABA,1971,FALSE,FALSE
Mike Lewis,East,ABA,1971,FALSE,FALSE
Bill Melchionni,East,ABA,1971,FALSE,FALSE
Cincinnatus Powell,East,ABA,1971,FALSE,FALSE
Charlie Scott,East,ABA,1971,FALSE,TRUE
Zelmo Beaty,West,ABA,1971,FALSE,TRUE
Ron Boone,West,ABA,1971,FALSE,FALSE
Roger Brown,West,ABA,1971,FALSE,TRUE
Glen Combs,West,ABA,1971,FALSE,FALSE
Mel Daniels,West,ABA,1971,FALSE,TRUE
Donnie Freeman,West,ABA,1971,FALSE,FALSE
Jimmy Jones,West,ABA,1971,FALSE,FALSE
Steve Jones,West,ABA,1971,FALSE,FALSE
Julius Keye,West,ABA,1971,FALSE,FALSE
Wendell Ladner,West,ABA,1971,FALSE,FALSE
Bob Netolicky,West,ABA,1971,FALSE,FALSE
Red Robbins,West,ABA,1971,FALSE,FALSE
Roger Brown,East,ABA,1970,FALSE,TRUE
Darel Carrier,East,ABA,1970,FALSE,FALSE
Louie Dampier,East,ABA,1970,FALSE,TRUE
Mel Daniels,East,ABA,1970,FALSE,TRUE
Donnie Freeman,East,ABA,1970,FALSE,FALSE
Mike Lewis,East,ABA,1970,FALSE,FALSE
Doug Moe,East,ABA,1970,FALSE,FALSE
Gene Moore,East,ABA,1970,FALSE,FALSE
Bob Netolicky,East,ABA,1970,FALSE,FALSE
Levern Tart,East,ABA,1970,FALSE,FALSE
Bob Verga,East,ABA,1970,FALSE,FALSE
Charles Williams,East,ABA,1970,FALSE,FALSE
Rick Barry,West,ABA,1970,FALSE,TRUE
John Beasley,West,ABA,1970,FALSE,FALSE
Larry Brown,West,ABA,1970,FALSE,TRUE
Glen Combs,West,ABA,1970,FALSE,FALSE
Warren Davis,West,ABA,1970,FALSE,FALSE
Gerald Govan,West,ABA,1970,FALSE,FALSE
Spencer Haywood,West,ABA,1970,FALSE,TRUE
Warren Jabali,West,ABA,1970,FALSE,FALSE
Jimmy Jones,West,ABA,1970,FALSE,FALSE
Larry Jones,West,ABA,1970,FALSE,FALSE
Steve Jones,West,ABA,1970,FALSE,FALSE
Cincinnatus Powell,West,ABA,1970,FALSE,FALSE
Red Robbins,West,ABA,1970,TRUE,FALSE
Darel Carrier,East,ABA,1969,FALSE,FALSE
Louie Dampier,East,ABA,1969,FALSE,TRUE
Mel Daniels,East,ABA,1969,FALSE,TRUE
Donnie Freeman,East,ABA,1969,FALSE,FALSE
Les Hunter,East,ABA,1969,FALSE,FALSE
Goose Ligon,East,ABA,1969,FALSE,FALSE
Bob Netolicky,East,ABA,1969,FALSE,FALSE
Walter Simon,East,ABA,1969,FALSE,FALSE
Skip Thoren,East,ABA,1969,FALSE,FALSE
Trooper Washington,East,ABA,1969,FALSE,FALSE
Charles Williams,East,ABA,1969,FALSE,FALSE
Rick Barry,West,ABA,1969,FALSE,TRUE
John Beasley,West,ABA,1969,FALSE,FALSE
Byron Beck,West,ABA,1969,FALSE,FALSE
Larry Brown,West,ABA,1969,FALSE,TRUE
Warren Davis,West,ABA,1969,FALSE,FALSE
Wayne Hightower,West,ABA,1969,FALSE,FALSE
Mervin Jackson,West,ABA,1969,FALSE,FALSE
Jimmy Jones,West,ABA,1969,FALSE,FALSE
Larry Jones,West,ABA,1969,FALSE,FALSE
Doug Moe,West,ABA,1969,FALSE,FALSE
Red Robbins,West,ABA,1969,FALSE,FALSE
Willie Somerset,West,ABA,1969,FALSE,FALSE
Roger Brown,East,ABA,1968,FALSE,TRUE
Darel Carrier,East,ABA,1968,FALSE,FALSE
Louie Dampier,East,ABA,1968,FALSE,TRUE
Mel Daniels,East,ABA,1968,FALSE,TRUE
Donnie Freeman,East,ABA,1968,FALSE,FALSE
Connie Hawkins,East,ABA,1968,FALSE,TRUE
Les Hunter,East,ABA,1968,FALSE,FALSE
Tony Jackson,East,ABA,1968,FALSE,FALSE
Freddie Lewis,East,ABA,1968,FALSE,FALSE
Randolph Mahaffey,East,ABA,1968,FALSE,FALSE
Bob Netolicky,East,ABA,1968,FALSE,FALSE
Chico Vaughn,East,ABA,1968,FALSE,FALSE
John Beasley,West,ABA,1968,FALSE,FALSE
Arthur Becker,West,ABA,1968,FALSE,FALSE
Larry Brown,West,ABA,1968,FALSE,TRUE
Larry Bunce,West,ABA,1968,FALSE,FALSE
Cliff Hagan,West,ABA,1968,FALSE,TRUE
Jimmy Jones,West,ABA,1968,FALSE,FALSE
Larry Jones,West,ABA,1968,FALSE,FALSE
Dewitt Menyard,West,ABA,1968,FALSE,FALSE
Doug Moe,West,ABA,1968,FALSE,FALSE
Red Robbins,West,ABA,1968,FALSE,FALSE
Levern Tart,West,ABA,1968,FALSE,FALSE
Ben Warley,West,ABA,1968,FALSE,FALSE
Bradley Beal,Team Durant,NBA,2021,FALSE,FALSE
Devin Booker,Team Durant,NBA,2021,FALSE,FALSE
Mike Conley,Team Durant,NBA,2021,FALSE,FALSE
Anthony Davis,Team Durant,NBA,2021,FALSE,FALSE
Kevin Durant,Team Durant,NBA,2021,FALSE,FALSE
Joel Embiid,Team Durant,NBA,2021,FALSE,FALSE
James Harden,Team Durant,NBA,2021,FALSE,FALSE
Kyrie Irving,Team Durant,NBA,2021,FALSE,FALSE
Zach LaVine,Team Durant,NBA,2021,FALSE,FALSE
Kawhi Leonard,Team Durant,NBA,2021,FALSE,FALSE
Donovan Mitchell,Team Durant,NBA,2021,FALSE,FALSE
Julius Randle,Team Durant,NBA,2021,FALSE,FALSE
Jayson Tatum,Team Durant,NBA,2021,FALSE,FALSE
Nikola Vučević,Team Durant,NBA,2021,FALSE,FALSE
Zion Williamson,Team Durant,NBA,2021,FALSE,FALSE
Giannis Antetokounmpo,Team LeBron,NBA,2021,FALSE,FALSE
Jaylen Brown,Team LeBron,NBA,2021,FALSE,FALSE
Stephen Curry,Team LeBron,NBA,2021,FALSE,FALSE
Luka Dončić,Team LeBron,NBA,2021,FALSE,FALSE
Paul George,Team LeBron,NBA,2021,FALSE,FALSE
Rudy Gobert,Team LeBron,NBA,2021,FALSE,FALSE
LeBron James,Team LeBron,NBA,2021,FALSE,FALSE
Nikola Jokić,Team LeBron,NBA,2021,FALSE,FALSE
Damian Lillard,Team LeBron,NBA,2021,FALSE,FALSE
Chris Paul,Team LeBron,NBA,2021,FALSE,FALSE
Domantas Sabonis,Team LeBron,NBA,2021,FALSE,FALSE
Ben Simmons,Team LeBron,NBA,2021,FALSE,FALSE
